trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.5, 'e': -0.4000000000000003}",30,0,-190.76604479503644,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': -0.4500000000000003}",20,10,-61.04672131080976,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-122.84584313247166,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': -0.5500000000000004}",25,0,-49.08563471913894,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': -0.6000000000000004}",25,0,-17.482177017088347,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': -0.6500000000000005}",20,0,-129.7463022412701,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': -0.7000000000000005}",25,0,-177.22195796567757,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
35,False,"{'a': 0.5, 'e': -0.7500000000000006}",20,0,-126.36805604269485,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': -0.8000000000000006}",20,0,-103.66699641619671,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': -0.8500000000000006}",20,0,-150.56896129377745,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': -0.9000000000000007}",20,0,-171.72436072259748,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
39,False,"{'a': 0.5, 'e': -0.9500000000000007}",25,0,-127.25295845340808,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': -1.0000000000000007}",20,0,-90.90466985480866,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': -1.0500000000000007}",20,14,-12.274293280243356,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
